"filename", "language", "JSON", "XML", "Markdown", "C#", "JavaScript", "CSS", "Properties", "ASP.NET Razor", "comment", "blank", "total"
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\Controller\Contact_FormController.cs", "C#", 0, 0, 0, 14, 0, 0, 0, 0, 0, 4, 18
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\Controller\EmailVerficationClasses\EmailSender.cs", "C#", 0, 0, 0, 25, 0, 0, 0, 0, 0, 6, 31
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\Controller\EmailVerficationClasses\User.cs", "C#", 0, 0, 0, 10, 0, 0, 0, 0, 0, 1, 11
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\Controller\EmailVerficationClasses\UserData.cs", "C#", 0, 0, 0, 7, 0, 0, 0, 0, 0, 4, 11
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\Model\BasicProperties.cs", "C#", 0, 0, 0, 14, 0, 0, 0, 0, 0, 7, 21
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\Model\Contact_Form\Contact_FormConnection.cs", "C#", 0, 0, 0, 52, 0, 0, 0, 0, 2, 11, 65
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\Model\Contact_Form\Contact_FormProperties.cs", "C#", 0, 0, 0, 18, 0, 0, 0, 0, 0, 9, 27
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\Model\Contact_From_Filled\C_F_FilledConnection.cs", "C#", 0, 0, 0, 40, 0, 0, 0, 0, 3, 9, 52
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\Model\DbUserEntry\CheckEmail.cs", "C#", 0, 0, 0, 40, 0, 0, 0, 0, 8, 10, 58
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\Model\DbUserEntry\InsertClient.cs", "C#", 0, 0, 0, 55, 0, 0, 0, 0, 1, 8, 64
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\Model\Login\UserLogin.cs", "C#", 0, 0, 0, 42, 0, 0, 0, 0, 3, 10, 55
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\Model\NavBar\NavBarConnection.cs", "C#", 0, 0, 0, 51, 0, 0, 0, 0, 3, 12, 66
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\Model\NavBar\NavBarProperties.cs", "C#", 0, 0, 0, 16, 0, 0, 0, 0, 0, 8, 24
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\NordicNest.csproj", "XML", 0, 24, 0, 0, 0, 0, 0, 0, 0, 7, 31
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\Pages\About.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 0, 0, 0, 89, 0, 21, 110
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\Pages\About.cshtml.cs", "C#", 0, 0, 0, 11, 0, 0, 0, 0, 0, 2, 13
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\Pages\Contact.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 0, 0, 0, 74, 1, 19, 94
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\Pages\Contact.cshtml.cs", "C#", 0, 0, 0, 11, 0, 0, 0, 0, 0, 2, 13
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\Pages\Contact_Form.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 0, 0, 0, 150, 0, 32, 182
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\Pages\Contact_Form.cshtml.cs", "C#", 0, 0, 0, 74, 0, 0, 0, 0, 38, 28, 140
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\Pages\DashBoard.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 0, 0, 0, 345, 2, 34, 381
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\Pages\DashBoard.cshtml.cs", "C#", 0, 0, 0, 26, 0, 0, 0, 0, 16, 12, 54
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\Pages\EmailVerified.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 0, 0, 0, 132, 18, 7, 157
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\Pages\EmailVerified.cshtml.cs", "C#", 0, 0, 0, 101, 0, 0, 0, 0, 19, 29, 149
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\Pages\Error.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 0, 0, 0, 23, 0, 4, 27
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\Pages\Error.cshtml.cs", "C#", 0, 0, 0, 22, 0, 0, 0, 0, 0, 7, 29
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\Pages\Index.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 0, 0, 0, 105, 6, 11, 122
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\Pages\Index.cshtml.cs", "C#", 0, 0, 0, 16, 0, 0, 0, 0, 0, 5, 21
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\Pages\Login.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 0, 0, 0, 88, 0, 1, 89
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\Pages\Login.cshtml.cs", "C#", 0, 0, 0, 58, 0, 0, 0, 0, 6, 14, 78
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\Pages\Manual.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 0, 0, 0, 289, 0, 26, 315
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\Pages\Manual.cshtml.cs", "C#", 0, 0, 0, 16, 0, 0, 0, 0, 0, 5, 21
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\Pages\NewUserContinue.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\Pages\NewUserContinue.cshtml.cs", "C#", 0, 0, 0, 19, 0, 0, 0, 0, 0, 2, 21
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\Pages\Register.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 0, 0, 0, 59, 0, 8, 67
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\Pages\Register.cshtml.cs", "C#", 0, 0, 0, 62, 0, 0, 0, 0, 10, 20, 92
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\Pages\Services.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 0, 0, 0, 161, 0, 31, 192
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\Pages\Services.cshtml.cs", "C#", 0, 0, 0, 11, 0, 0, 0, 0, 0, 2, 13
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\Pages\Shared\_Layout.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 0, 0, 0, 88, 0, 5, 93
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\Pages\Shared\_Layout.cshtml.css", "CSS", 0, 0, 0, 0, 0, 38, 0, 0, 2, 9, 49
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\Pages\Shared\_ValidationScriptsPartial.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 3
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\Pages\ShowErrorMessage.cshtml", "ASP.NET Razor", 0, 0, 0, 0, 0, 0, 0, 7, 0, 1, 8
"c:\Users\Shaz0184\Desktop\!OnGoing\Nordic-Nest\NordicNest\Pages\ShowErrorMessage.cshtml.cs", "C#", 0, 0, 0, 11, 0, 0, 0, 0, 0, 2, 13
